,split,genre,dataset,year,sid,score,sentence1,sentence2
0,train,main-captions,MSRvid,2012test,1,5.0,Một chiếc máy bay đang cất cánh.,Một chiếc máy bay đang cất cánh.
1,train,main-captions,MSRvid,2012test,4,3.8,Một người đàn ông đang thổi một cây sáo lớn.,Một người đàn ông đang thổi sáo.
2,train,main-captions,MSRvid,2012test,5,3.8,Một người đàn ông đang phết pho mát vụn lên bánh pizza.,Một người đàn ông đang phết phô mai vụn lên một chiếc bánh pizza chưa nấu chín.
3,train,main-captions,MSRvid,2012test,6,2.6,Ba người đàn ông đang chơi cờ.,Hai người đàn ông đang chơi cờ.
4,train,main-captions,MSRvid,2012test,9,4.25,Một người đàn ông đang chơi cello.,Một người đàn ông ngồi đang chơi cello.
5,train,main-captions,MSRvid,2012test,11,4.25,Một số người đàn ông đang chiến đấu.,Hai người đàn ông đang đánh nhau.
6,train,main-captions,MSRvid,2012test,12,0.5,Một người đàn ông đang hút thuốc.,Một người đàn ông đang trượt băng.
7,train,main-captions,MSRvid,2012test,13,1.6,Người đàn ông đang chơi piano.,Người đàn ông đang chơi guitar.
8,train,main-captions,MSRvid,2012test,14,2.2,Một người đàn ông đang chơi guitar và hát.,Một người phụ nữ đang chơi guitar acoustic và hát.
9,train,main-captions,MSRvid,2012test,16,5.0,Một người đang ném một con mèo lên trần nhà.,Một người ném một con mèo lên trần nhà.
10,train,main-captions,MSRvid,2012test,17,4.2,Người đàn ông dùng gậy đánh người đàn ông kia.,Người đàn ông dùng gậy đánh người đàn ông kia.
11,train,main-captions,MSRvid,2012test,18,4.6,Một người phụ nữ bế một con kangaroo con.,Một người phụ nữ bế một con kangaroo con trên tay.
12,train,main-captions,MSRvid,2012test,19,3.867,Một người đàn ông đang thổi sáo.,Một người đàn ông đang thổi sáo trúc.
13,train,main-captions,MSRvid,2012test,20,4.667,Một người đang gấp một mảnh giấy.,Ai đó đang gấp một mảnh giấy.
14,train,main-captions,MSRvid,2012test,21,1.667,Một người đàn ông đang chạy trên đường.,Một chú chó gấu trúc đang chạy trên đường.
15,train,main-captions,MSRvid,2012test,22,3.75,Một đang cố gắng lấy thịt xông khói ra khỏi lưng.,Một đang cố gắng ăn thịt xông khói trên lưng.
16,train,main-captions,MSRvid,2012test,25,5.0,Con gấu Bắc cực đang trượt trên tuyết.,Một con gấu Bắc cực đang trượt trên tuyết.
17,train,main-captions,MSRvid,2012test,26,0.5,Một người phụ nữ đang viết.,Một người phụ nữ đang bơi.
18,train,main-captions,MSRvid,2012test,28,3.8,Một con mèo đang cọ xát vào mặt em bé.,Một con mèo đang cọ xát với em bé.
19,train,main-captions,MSRvid,2012test,29,5.0,Người đàn ông đang cưỡi ngựa.,Một người đàn ông đang cưỡi trên một con ngựa.
20,train,main-captions,MSRvid,2012test,30,3.2,Một người đàn ông đổ dầu vào nồi.,Một người đàn ông rót rượu vào nồi.
21,train,main-captions,MSRvid,2012test,31,2.8,Một người đàn ông đang chơi guitar.,Một cô gái đang chơi guitar.
22,train,main-captions,MSRvid,2012test,32,4.6,Một con gấu trúc đang trượt xuống cầu trượt.,Một con gấu trúc trượt xuống một slide.
23,train,main-captions,MSRvid,2012test,34,3.0,Một người phụ nữ đang ăn một cái gì đó.,Một người phụ nữ đang ăn thịt.
24,train,main-captions,MSRvid,2012test,35,5.0,Một người phụ nữ gọt vỏ khoai tây.,Một người phụ nữ đang gọt vỏ khoai tây.
