sentence1,sentence2,score
Một chiếc máy bay đang cất cánh.,Một chiếc máy bay đang cất cánh.,5.0
Một người đàn ông đang thổi một cây sáo lớn.,Một người đàn ông đang thổi sáo.,3.8
Một người đàn ông đang phết pho mát vụn lên bánh pizza.,Một người đàn ông đang phết phô mai vụn lên một chiếc bánh pizza chưa nấu chín.,3.8
Ba người đàn ông đang chơi cờ.,Hai người đàn ông đang chơi cờ.,2.6
Một người đàn ông đang chơi cello.,Một người đàn ông ngồi đang chơi cello.,4.25
Một số người đàn ông đang chiến đấu.,Hai người đàn ông đang đánh nhau.,4.25
Một người đàn ông đang hút thuốc.,Một người đàn ông đang trượt băng.,0.5
Người đàn ông đang chơi piano.,Người đàn ông đang chơi guitar.,1.6
Một người đàn ông đang chơi guitar và hát.,Một người phụ nữ đang chơi guitar acoustic và hát.,2.2
Một người đang ném một con mèo lên trần nhà.,Một người ném một con mèo lên trần nhà.,5.0
Người đàn ông dùng gậy đánh người đàn ông kia.,Người đàn ông dùng gậy đánh người đàn ông kia.,4.2
Một người phụ nữ bế một con kangaroo con.,Một người phụ nữ bế một con kangaroo con trên tay.,4.6
Một người đàn ông đang thổi sáo.,Một người đàn ông đang thổi sáo trúc.,3.867
Một người đang gấp một mảnh giấy.,Ai đó đang gấp một mảnh giấy.,4.667
Một người đàn ông đang chạy trên đường.,Một chú chó gấu trúc đang chạy trên đường.,1.667
Một đang cố gắng lấy thịt xông khói ra khỏi lưng.,Một đang cố gắng ăn thịt xông khói trên lưng.,3.75
Con gấu Bắc cực đang trượt trên tuyết.,Một con gấu Bắc cực đang trượt trên tuyết.,5.0
Một người phụ nữ đang viết.,Một người phụ nữ đang bơi.,0.5
Một con mèo đang cọ xát vào mặt em bé.,Một con mèo đang cọ xát với em bé.,3.8
Người đàn ông đang cưỡi ngựa.,Một người đàn ông đang cưỡi trên một con ngựa.,5.0
Một người đàn ông đổ dầu vào nồi.,Một người đàn ông rót rượu vào nồi.,3.2
Một người đàn ông đang chơi guitar.,Một cô gái đang chơi guitar.,2.8
Một con gấu trúc đang trượt xuống cầu trượt.,Một con gấu trúc trượt xuống một slide.,4.6
Một người phụ nữ đang ăn một cái gì đó.,Một người phụ nữ đang ăn thịt.,3.0
Một người phụ nữ gọt vỏ khoai tây.,Một người phụ nữ đang gọt vỏ khoai tây.,5.0
Cậu bé bị ngã khỏi xe đạp.,Một cậu bé bị ngã khỏi xe đạp.,4.8
Người phụ nữ đang thổi sáo.,Một người phụ nữ đang thổi sáo.,5.0
Một con thỏ đang chạy từ một con đại bàng.,Một con thỏ rừng đang chạy từ một con đại bàng.,4.2
Người phụ nữ đang chiên một miếng thịt lợn tẩm bột.,Một người phụ nữ đang nấu một miếng thịt lợn tẩm bột.,4.2
Một cô gái đang thả diều.,Một cô gái đang chạy đang thả diều.,4.0
Một người đàn ông đang cưỡi một cơ khí.,Một người đàn ông cưỡi một cơ khí.,4.0
Người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar.,4.909
Một người phụ nữ đang nhảy múa và hát với những người phụ nữ khác.,Một người phụ nữ đang nhảy múa và ca hát trong mưa.,3.0
Một người đàn ông đang cắt một chiếc bánh.,Một người đàn ông đang cắt một củ hành tây.,2.4
Một người đàn ông đang đổ dầu vào chảo.,Một người đàn ông đang đổ dầu vào chảo.,4.2
Một con sư tử đang chơi với mọi người.,Một con sư tử đang chơi với hai người đàn ông.,3.4
Một cưỡi ván trượt.,Một đang cưỡi ván trượt.,5.0
Ai đó đang tạc một bức tượng.,Một người đàn ông đang tạc một bức tượng.,3.75
Một người phụ nữ đang cắt một củ hành tây.,Một người đàn ông đang cắt một củ hành tây.,2.75
Một người phụ nữ bóc vỏ tôm.,Một người phụ nữ đang bóc tôm.,5.0
Một người phụ nữ đang chiên cá.,Một người phụ nữ đang nấu cá.,4.0
Một người phụ nữ đang chơi guitar điện.,Một người phụ nữ đang chơi guitar.,3.6
Một con hổ con đang chơi với một quả bóng.,Một em bé đang chơi với một con búp bê.,1.6
Một người đang cắt một quả cà chua.,Một người đang cắt một ít thịt.,1.75
Một người cắt một củ hành tây.,Một người đang cắt một củ hành tây.,5.0
Một người đàn ông đang chơi piano.,Một người phụ nữ đang chơi violin.,1.0
Một người phụ nữ đang thổi sáo.,Một người đàn ông đang chơi guitar.,1.0
Một người đàn ông đang cắt một củ khoai tây.,Một người đàn ông đang cắt cà rốt.,2.375
Một đứa trẻ đang chơi guitar.,Một cậu bé đang chơi guitar.,3.8
Một cậu bé đang chơi guitar.,Một người đàn ông đang chơi guitar.,3.2
Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi guitar.,3.2
Một cậu bé đang chơi đàn phím.,Một cậu bé đang chơi bảng chìa khóa.,4.4
Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar điện.,3.75
Một liếm một em bé.,Một đang liếm một em bé.,4.75
Một người phụ nữ đang cắt một củ hành tây.,Một người đàn ông đang cắt và hành tây.,3.2
Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi trống.,1.556
Một người phụ nữ đang cắt một hạt tiêu.,Một người phụ nữ đang cắt một quả ớt đỏ.,3.938
Một người đàn ông đang chơi trống.,Một người đàn ông chơi trống.,5.0
Một người phụ nữ cưỡi ngựa.,Một người phụ nữ đang cưỡi ngựa.,5.0
Một người đàn ông đang ăn một quả chuối bên một cái cây.,Một người đàn ông đang ăn một quả chuối.,4.0
Một con mèo đang chơi một bảng chìa khóa.,Một người đàn ông đang chơi hai bàn phím.,1.6
Một người đàn ông chặt cây bằng rìu.,Một người đàn ông chặt cây bằng rìu.,4.75
